Rank,Fragment SMILES,Score
1,*c1ccnc2c1C(=O)N(C)C2,0.6243283748626709
2,*c1ccccc1,0.6219029426574707
3,*c1c(C)n(C)c2ccccc12,0.6118513941764832
4,*c1ccc(C)cc1,0.6118209362030029
5,*c1ncnc2c1C(C)CC2O,0.6112745404243469
6,*c1cn(C)c(=O)c2[nH]ccc12,0.6111447811126709
7,*c1nc2cc[nH]c2c(=O)n1C,0.6105909943580627
8,*c1c[nH]c2[nH]c(=N)[nH]c(=O)c12,0.6057178974151611
9,*c1cccc2c1C(=O)N(C)C2,0.6031689643859863
10,*c1cnc2c(c1)CCC(=O)N2,0.6026239395141602
11,*c1nc2[nH]c(C)cc(=O)n2n1,0.6023870706558228
12,*C1(O)C(=O)Nc2ccccc21,0.598831057548523
13,*c1ccc2c(c1)C(=O)NCC2,0.5981819033622742
14,*c1cnn2cc(OC)ccc12,0.5980983376502991
15,*c1ccc2[nH]cc(C#N)c2c1,0.5977489948272705
16,*c1cccc(C)c1,0.5968244075775146
17,*c1cnc2[nH]nc(OC)c2c1,0.5951913595199585
18,*c1ccccc1C,0.5916944146156311
19,*c1ccc2c(c1)NC(=O)CC2,0.5874078869819641
20,*c1c[nH]c2c(OC)cccc12,0.5865018963813782
21,*c1c[nH]c2cc(C#N)ccc12,0.5864056348800659
22,*Cc1c[nH]c2c(=N)[nH]cnc12,0.586166262626648
23,*c1ccc2c(c1)[nH]c(=O)n2C,0.586137592792511
24,*c1cc2c(=O)[nH]c(=N)[nH]c2[nH]1,0.5860451459884644
25,*c1ccc2c(c1)CCC(=O)N2,0.5852757096290588
26,*c1coc2[nH]c(=N)[nH]c(=N)c12,0.5839781761169434
27,*c1cccc2c1NCC(C)C2,0.5836038589477539
28,*c1ccnc2c1OCCNC2,0.5827268958091736
29,*c1ccc2c(c1)NC(=O)CO2,0.5823230743408203
30,*c1c[nH]c2c(=N)[nH]cnc12,0.5806995034217834
31,*c1nc2c(C)ncc(C)n2n1,0.5804324150085449
32,*c1ccc2c(c1)OCCN2C,0.5801100730895996
33,*c1ccc2c(=N)[nH]cnc2c1,0.5791178941726685
34,*Cc1c[n+]2c(c([O-])n1)=CCC=2,0.5756174921989441
35,*c1ccc(CN)cc1,0.5746737122535706
36,*Cc1c[nH]c2cc(F)ccc12,0.5739142298698425
37,*c1ccc(CO)cc1,0.573867917060852
38,*c1cc(C)nc2ccccc12,0.5731704831123352
39,*c1c[nH]c2c(=O)[nH]cnc12,0.5727760791778564
40,*n1cnc2c(=N)[nH]c(C)nc21,0.5726697444915771
41,*c1ccc2c(=O)[nH]cnc2c1,0.5726532936096191
42,*N1C(=O)CCc2ccccc21,0.5718923211097717
43,*c1cc(C)c2[nH]ncc2c1,0.5708759427070618
44,*c1cc2c([nH]1)CCNC2=O,0.5705299377441406
45,*Oc1cccc2c1C(=O)CC2,0.5689021944999695
46,*c1ccc2c(c1)CCCO2,0.5687010884284973
47,*c1ccc(C=O)cc1,0.5683586001396179
48,*Oc1ncnc2ccn(C)c12,0.5678261518478394
49,*c1ccc(CC)cc1,0.5676752924919128
50,*c1ccc2c(c1)C(=O)N=C2,0.5676186084747314
51,*c1ccc2nc(C)ccc2c1,0.5674218535423279
52,*c1c[nH]c2ccc(C)cc12,0.5669616460800171
53,*C(=O)c1cccc2c[nH]nc12,0.5658627152442932
54,*c1ccc(O)cc1,0.5657218098640442
55,*c1cc(C)cc(C)c1,0.5646724104881287
56,*Cc1c(O)[nH]c2ccccc12,0.5637367963790894
57,*c1cccc2c1C(=O)CC2,0.563698947429657
58,*c1ccc(Cl)cc1,0.5631895661354065
59,*c1cnc2ncc(=O)[nH]c2c1,0.5627068281173706
60,*c1c(C)c(O)c(=C)c(=C)c1O,0.5625166296958923
61,*Cc1c(C)[nH]c2ccccc12,0.5623844265937805
62,*c1cc(O)ccc1C,0.562226414680481
63,*c1ccc(C#N)cc1,0.5619969367980957
64,*C(=O)c1cc2cnccc2[nH]1,0.5614659786224365
65,*c1nccc2c(=O)[nH]cnc12,0.5614414215087891
66,*c1nc2nc(C)cc(C)n2n1,0.5611134171485901
67,*c1c(C)[nH]c2ccccc12,0.5608773231506348
68,*Cc1cn(C)c2ccccc12,0.5608602166175842
69,*c1cc(Cl)ccc1C,0.5607426762580872
70,*Oc1ccc2c(c1)C=NC2=O,0.5606189370155334
71,*c1ccc(F)cc1,0.5596616864204407
72,*c1noc2cc(OC)ccc12,0.5596246123313904
73,*C(=O)c1cnc2[nH]ncc2c1,0.5586351156234741
74,*c1cc(F)ccc1C,0.5582455992698669
75,*c1ccc2[nH]c(=O)ccc2c1,0.5581937432289124
76,*c1cccc(O)c1,0.557827889919281
77,*c1cccc2c1ncn2C,0.5578204393386841
78,*c1c(C)ccc2[nH]ncc12,0.5577558279037476
79,*c1[nH]c(O)c2ccc(O)cc12,0.5576406717300415
80,*c1cccc(CO)c1,0.5572275519371033
81,*C(=O)c1ccnc2[nH]ccc12,0.557081401348114
82,*c1ccccc1CC,0.5561912655830383
83,*C1Cc2ccccc2NC1=O,0.555732786655426
84,*c1ccc(C#C)cc1,0.5556169152259827
85,*c1ccc2[nH]c(=N)ncc2c1,0.5553171038627625
86,*c1cccc2[nH]c(=N)ccc12,0.5551249980926514
87,*c1cccc(CN)c1,0.5551194548606873
88,*Cc1cc2ccccc2n1C,0.5549432635307312
89,*c1cc2c(nn1)N=NC2=O,0.5548787117004395
90,*c1ccc(O)cc1C,0.5547537803649902
91,*C(=O)c1cc2ccncc2o1,0.5543513894081116
92,*c1cccc(CC)c1,0.5541025996208191
93,*c1cc(C)c(C(N)=O)cc1C,0.553974449634552
94,*Cc1c[nH]c2cc(C)ccc12,0.5534728169441223
95,*c1ccc2[nH]nc(C)c2c1,0.5533971190452576
96,*c1c(C)cccc1C,0.5533812642097473
97,*c1ccc2c(c1)C(=O)NC2,0.5528138875961304
98,*n1c(OC)nc2cccnc21,0.5528115034103394
99,*c1[nH]c(=N)nc2ccccc12,0.5527192950248718
100,*c1cc(C)ccc1OC,0.5525690913200378
101,*c1oc2ccc(C)cc2c1C,0.552560031414032
102,*c1cc2ccccc2[nH]c1=O,0.552395224571228
103,*Cc1c[nH]c2ccc(C)cc12,0.552278995513916
104,*c1cccc(Cl)c1C,0.5521409511566162
105,*c1c(C)cccc1Cl,0.5520973205566406
106,*c1ccc(CN)c(OC)c1,0.552064061164856
107,*c1ccc2o[nH]c(=N)c2c1,0.5515598654747009
108,*C(=O)c1cccc2[nH]cnc12,0.5515478849411011
109,*N=c1[nH]c2ccc(C)nc2[nH]1,0.551287829875946
110,*c1cc2ccccc2[nH]c1=N,0.5510526299476624
111,*c1ccc(F)c(C)c1,0.550930917263031
112,*c1cc2cc(OC)ccc2[nH]1,0.5509119033813477
113,*c1[nH]nc2cc(C#N)ccc12,0.5507772564888
114,*c1ccc2ccc(=N)[nH]c2c1,0.550520658493042
115,*c1cc2n(c1)CCNC2=O,0.5504574179649353
116,*c1cccc(C#N)c1,0.5504236817359924
117,*c1c(=O)[nH]n2ccccc12,0.5504171252250671
118,*c1ccc(C(N)N)cc1,0.5502575635910034
119,*c1ccc(O)c(C(C)CC)c1,0.5502331256866455
120,*c1ccc2[nH][nH]c(=O)c2c1,0.55018150806427
